timestamp,vehicle_speed (MPH),engine_fuel_rate (l/min),engine_exhaust_flow_rate (Kg/h),mass_air_flow (g/min),execute_engine_power (KW),engine_speed (rpm),drive_mode,ev_mode_status,hybrid_battery_soc (%),hybrid_battery_voltage (V),hybrid_battery_current (A),engine_mode,motor_revolution (rpm),motor_torque (Nm),fuel_input_volume (US Gallons),co2_emissions (PPM),distance_travelled_since_startup (miles),fuel_economy (MPG), motor_power_delivered (KW),
0.1708,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,0.0,8.982826948480847,98310,0,0,0.0,
0.3298,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,1,-0.125,8.982826948480847,102860,0,0,-1.3091746962714705e-05,
0.4798,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.30000000000000004,0,-1,-0.125,8.982826948480847,106600,0,0,1.3091746962714705e-05,
0.6393,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.6000000000000001,0,-1,0.0,8.982826948480847,111040,0,0,-0.0,
0.8009,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,0.0,8.982826948480847,114890,0,0,0.0,
0.9693,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,-0.125,8.982826948480847,118370,0,0,-0.0,
1.1308,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,1,0.0,8.982826948480847,121650,0,0,0.0,
1.2899,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,-2,0.0,8.982826948480847,124520,0,0,-0.0,
1.4308,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.30000000000000004,0,-1,-0.125,8.982826948480847,126880,0,0,1.3091746962714705e-05,
1.5817,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,-1,-0.125,8.982826948480847,128780,0,0,1.3091746962714705e-05,
1.7402,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,0.0,8.982826948480847,130320,0,0,0.0,
1.8928,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,0.0,8.982826948480847,130920,0,0,0.0,
2.0488,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,-0.125,8.982826948480847,130940,0,0,-0.0,
2.1988,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,1,0.0,8.982826948480847,130200,0,0,0.0,
2.3609,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,-0.125,8.982826948480847,129080,0,0,-0.0,
2.5201,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,1,-0.125,8.982826948480847,126330,0,0,-1.3091746962714705e-05,
2.6698,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.30000000000000004,0,-1,-0.125,8.982826948480847,123080,0,0,1.3091746962714705e-05,
2.8288,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.6000000000000001,0,-1,0.0,8.982826948480847,118440,0,0,-0.0,
2.9911,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,-0.125,8.982826948480847,113370,0,0,-0.0,
3.1288,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,-2,-0.125,8.982826948480847,109010,0,0,2.618349392542941e-05,
3.2795,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.30000000000000004,0,0,-0.125,8.982826948480847,104440,0,0,-0.0,
3.4409,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.30000000000000004,0,2,0.0,8.982826948480847,99680,0,0,0.0,
3.5998,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.6000000000000001,0,0,0.0,8.982826948480847,94950,0,0,0.0,
3.7503,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,-1,-0.125,8.982826948480847,91250,0,0,1.3091746962714705e-05,
3.9119,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,1,-0.125,8.982826948480847,87260,0,0,-1.3091746962714705e-05,
4.0592,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,0,-0.125,8.982826948480847,84150,0,0,-0.0,
4.2212,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,-1,-0.125,8.982826948480847,80570,0,0,1.3091746962714705e-05,
4.3708,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.6000000000000001,0,0,-0.125,8.982826948480847,77570,0,0,-0.0,
4.5299,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,3,-0.125,8.982826948480847,74330,0,0,-3.9275240888144114e-05,
4.6709,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.4,0,1,0.875,8.982826948480847,71630,0,0,9.164222873900293e-05,
4.8209,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.6000000000000001,0,25,2.0,8.982826948480847,69040,0,0,0.005236698785085882,
4.9802,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.6000000000000001,0,5,6.0,8.982826948480847,66320,0,0,0.003142019271051529,
5.1208,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,0.9,0,14,16.375,8.982826948480847,64050,0,0,0.02401026392961877,
5.2799,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,1.2000000000000002,0,2,20.125,8.982826948480847,61500,0,0,0.0042155425219941355,
5.4509,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,1.9000000000000001,0,11,22.875,8.982826948480847,59290,0,0,0.0263536866359447,
5.6102,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,1.9000000000000001,0,6,27.5,8.982826948480847,56960,0,0,0.017281105990783408,
5.7688,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,2.2,0,14,29.375,8.982826948480847,54950,0,0,0.043071847507331375,
5.9194,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,2.2,0,21,28.875,8.982826948480847,53250,0,0,0.06350806451612903,
6.0688,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,2.2,0,39,27.625,8.982826948480847,51730,0,0,0.11283776707163803,
6.2188,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,2.5,0,58,25.25,8.982826948480847,50080,0,0,0.15338290741516547,
6.3688,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,2.9000000000000004,0,79,26.25,8.982826948480847,48720,0,0,0.21719208211143695,
6.5099,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,2.4000000000000004,0,94,23.25,8.982826948480847,47460,0,0,0.22889610389610388,
6.6599,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,351.0,3.0,0,113,24.125,8.982826948480847,46130,0,0,0.28551790950984496,
6.8188,0.0,0.0,0.0,25.8,0.0,0.0,1,129,56.84,350.0,3.0,0,128,23.75,8.982826948480847,44780,0,0,0.31839128613322165,
